ref_net_name,net_key
network_bbh_CE40km_1p5MW_Aplus_coat_7.0hz_CE20km_1p5MW_Aplus_coat_7.0hz_LIA+_10.0hz,net1_ce7
network_bbh_CE40km_1p5MW_aLIGO_coat_7.0hz_CE20km_1p5MW_aLIGO_coat_7.0hz_LIA+_10.0hz,net2_ce7
network_bbh_CE40km_1p0MW_Aplus_coat_7.0hz_CE20km_1p0MW_Aplus_coat_7.0hz_LIA+_10.0hz,net3_ce7
network_bbh_CE40km_1p0MW_aLIGO_coat_7.0hz_CE20km_1p0MW_aLIGO_coat_7.0hz_LIA+_10.0hz,net4_ce7
network_bbh_CE40km_1p5MW_Aplus_coat_10.0hz_CE20km_1p5MW_Aplus_coat_10.0hz_LIA+_10.0hz,net1_ce10
network_bbh_CE40km_1p5MW_aLIGO_coat_10.0hz_CE20km_1p5MW_aLIGO_coat_10.0hz_LIA+_10.0hz,net2_ce10
network_bbh_CE40km_1p0MW_Aplus_coat_10.0hz_CE20km_1p0MW_Aplus_coat_10.0hz_LIA+_10.0hz,net3_ce10
network_bbh_CE40km_1p0MW_aLIGO_coat_10.0hz_CE20km_1p0MW_aLIGO_coat_10.0hz_LIA+_10.0hz,net4_ce10
network_bbh_CE40km_1p5MW_Aplus_coat_15.0hz_CE20km_1p5MW_Aplus_coat_15.0hz_LIA+_10.0hz,net1_ce15
network_bbh_CE40km_1p5MW_aLIGO_coat_15.0hz_CE20km_1p5MW_aLIGO_coat_15.0hz_LIA+_10.0hz,net2_ce15
network_bbh_CE40km_1p0MW_Aplus_coat_15.0hz_CE20km_1p0MW_Aplus_coat_15.0hz_LIA+_10.0hz,net3_ce15
network_bbh_CE40km_1p0MW_aLIGO_coat_15.0hz_CE20km_1p0MW_aLIGO_coat_15.0hz_LIA+_10.0hz,net4_ce15
network_bbh_CE40km_1p5MW_Aplus_coat_7.0hz_ETD_5.0hz_LIA+_10.0hz,net5a_ce7
network_bbh_CE40km_1p5MW_aLIGO_coat_7.0hz_ETD_5.0hz_LIA+_10.0hz,net5b_ce7
network_bbh_CE40km_1p0MW_Aplus_coat_7.0hz_ETD_5.0hz_LIA+_10.0hz,net6a_ce7
network_bbh_CE40km_1p0MW_aLIGO_coat_7.0hz_ETD_5.0hz_LIA+_10.0hz,net6b_ce7
network_bbh_CE40km_1p5MW_Aplus_coat_10.0hz_ETD_5.0hz_LIA+_10.0hz,net5a_ce10
network_bbh_CE40km_1p5MW_aLIGO_coat_10.0hz_ETD_5.0hz_LIA+_10.0hz,net5b_ce10
network_bbh_CE40km_1p0MW_Aplus_coat_10.0hz_ETD_5.0hz_LIA+_10.0hz,net6a_ce10
network_bbh_CE40km_1p0MW_aLIGO_coat_10.0hz_ETD_5.0hz_LIA+_10.0hz,net6b_ce10
network_bbh_CE40km_1p5MW_Aplus_coat_15.0hz_ETD_5.0hz_LIA+_10.0hz,net5a_ce15
network_bbh_CE40km_1p5MW_aLIGO_coat_15.0hz_ETD_5.0hz_LIA+_10.0hz,net5b_ce15
network_bbh_CE40km_1p0MW_Aplus_coat_15.0hz_ETD_5.0hz_LIA+_10.0hz,net6a_ce15
network_bbh_CE40km_1p0MW_aLIGO_coat_15.0hz_ETD_5.0hz_LIA+_10.0hz,net6b_ce15
network_bbh_CE40km_1p5MW_Aplus_coat_7.0hz_CE20km_1p5MW_Aplus_coat_7.0hz_ETD_5.0hz,net7_ce7
network_bbh_CE40km_1p5MW_Aplus_coat_10.0hz_CE20km_1p5MW_Aplus_coat_10.0hz_ETD_5.0hz,net7_ce10
network_bbh_CE40km_1p5MW_Aplus_coat_15.0hz_CE20km_1p5MW_Aplus_coat_15.0hz_ETD_5.0hz,net7_ce15
network_bbh_CE40km_1p5MW_Aplus_coat_7.0hz_ETD_5.0hz,net8a_ce7
network_bbh_CE40km_1p5MW_Aplus_coat_10.0hz_ETD_5.0hz,net8a_ce10
network_bbh_CE40km_1p5MW_Aplus_coat_15.0hz_ETD_5.0hz,net8a_ce15
network_bbh_CE40km_1p5MW_Aplus_coat_7.0hz_ETSL_5.0hz_ETMRL45d_5.0hz,net8b_ce7
network_bbh_CE40km_1p5MW_Aplus_coat_10.0hz_ETSL_5.0hz_ETMRL45d_5.0hz,net8b_ce10
network_bbh_CE40km_1p5MW_Aplus_coat_15.0hz_ETSL_5.0hz_ETMRL45d_5.0hz,net8b_ce15
network_bbh_LHA+_10.0hz_LLA+_10.0hz_LIA+_10.0hz,net9a
network_bbh_LHAsharp_10.0hz_LLAsharp_10.0hz_LIAsharp_10.0hz,net9b
